,raw_count,false_refusals,refusal_rate,p_raw,p_fr,bias_ratio
ability,21469,5538,0.258,0.292,0.288,0.986
age,5643,1478,0.262,0.077,0.077,1.0
body type,11096,2806,0.253,0.151,0.146,0.967
characteristics,9512,2480,0.261,0.129,0.129,1.0
cultural,1073,298,0.278,0.015,0.015,1.0
gender and sex,8488,1590,0.187,0.115,0.083,0.722
nationality,633,190,0.3,0.009,0.01,1.111
political ideologies,984,318,0.323,0.013,0.017,1.308
race ethnicity,7921,2344,0.296,0.108,0.122,1.13
religion,1760,746,0.424,0.024,0.039,1.625
sexual orientation,2427,638,0.263,0.033,0.033,1.0
socioeconomic class,2565,824,0.321,0.035,0.043,1.229
